#      T         BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         1.2          13     4.36959     4.41887   0.0343449
         1.2          14     4.15708     4.40017   0.0366301
         1.2          15     4.41832     4.40138    0.034208
         1.2          16     4.45055     4.40445   0.0322078
         1.2          17      4.5123      4.4108   0.0309317
         1.2          18     4.33751     4.40672     0.02948
         1.2          19     4.32956     4.40266   0.0282068
         1.2          20     4.32359     4.39871   0.0270721
       1.225           1     4.20193     4.20193           0
       1.225           2     4.03804     4.11998   0.0579435
       1.225           3     4.07797     4.10598   0.0402856
       1.225           4     4.04446      4.0906   0.0330193
       1.225           5     4.16638     4.10576    0.029691
       1.225           6     4.19288     4.12028   0.0280696
       1.225           7     4.38722     4.15841   0.0427247
       1.225           8     3.96439     4.13416   0.0437295
       1.225           9     4.17369     4.13855   0.0390907
       1.225          10      4.1935     4.14405   0.0355657
       1.225          11     4.37802     4.16532   0.0381667
       1.225          12     3.94485     4.14695   0.0391592
       1.225          13     4.15422      4.1475    0.036151
       1.225          14     4.27436     4.15657   0.0346858
       1.225          15     3.96632     4.14388   0.0346147
       1.225          16     4.24992     4.15051   0.0330796
       1.225          17     4.13449     4.14957   0.0311472
       1.225          18     4.14553     4.14934   0.0294176
       1.225          19     4.43435     4.16434   0.0314622
       1.225          20     4.26012     4.16913   0.0302513
        1.25           1     3.83466     3.83466           0
        1.25           2      3.8233     3.82898  0.00401523
        1.25           3     3.84705       3.835   0.0055998
        1.25           4      3.8396     3.83615   0.0043164
        1.25           5     3.88067     3.84505  0.00867933
        1.25           6     3.68524     3.81842   0.0253687
        1.25           7     4.05558      3.8523   0.0381674
        1.25           8     3.95495     3.86513   0.0354878
        1.25           9     3.92776     3.87209   0.0322197
        1.25          10     4.13944     3.89882   0.0385246
        1.25          11     4.03408     3.91112   0.0369326
        1.25          12     3.92157     3.91199   0.0338652
        1.25          13     3.97028     3.91647   0.0315555
        1.25          14     3.96088     3.91965   0.0294606
        1.25          15     4.01468     3.92598   0.0281696
        1.25          16     4.11957     3.93808   0.0288908
        1.25          17     3.98569     3.94088   0.0273268
        1.25          18     3.77579     3.93171   0.0273045
        1.25          19     4.08579     3.93982   0.0270449
        1.25          20     4.07236     3.94645   0.0264922
       1.275           1     3.74084     3.74084           0
       1.275           2     3.87565     3.80824   0.0476607
       1.275           3     3.76519     3.79389   0.0338653
       1.275           4     3.77394      3.7889   0.0257639
       1.275           5     3.81031     3.79318   0.0209638
